% -------------------------------------------------------------------------------------------
% HOYA Glass Catalog
% -------------------------------------------------------------------------------------------
% Date:                   2013-10-01
% Source:                 http://www.hoyaoptics.com/products/document_library.htm
%                         HOYA20131001.xls
% Dispersion Formula:     Schott  [ n^2 = A0 + A1*L^2 + A2*L^-2 + A3*L^-4 + A4*L^-6 + A5*L^-8]
% Valid Wavelength Range: See HOYA Data Sheets  (362nm - 1014nm)
% -------------------------------------------------------------------------------------------
% $HeadURL: file:///C:/svn_Master/svn_macos/trunk/RxGen/HOYA_2013.txt $
% $Revision: 1032 $
% $Id: HOYA_2013.txt 1032 2013-10-22 20:17:20Z Pegasus $
% -------------------------------------------------------------------------------------------
% Name	A0	A1	A2	A3	A4	A5
%/
FDS18	3.56378400E+000	-2.54496440E-002	5.84016590E-002	9.23109830E-003	-9.54997270E-004	1.17774560E-004
FF5	2.47433240E+000	-1.09553380E-002	1.92938010E-002	1.44977320E-003	-1.10387440E-004	1.11360080E-005
FF8	2.95643610E+000	-1.97621950E-002	2.98788230E-002	5.18308520E-003	-5.42023890E-004	4.84632450E-005
BAFD7	2.82172110E+000	-9.72654830E-003	2.43459790E-002	7.84063050E-004	-2.24314970E-005	4.67260290E-006
BAFD8	2.88632360E+000	-9.80272400E-003	2.76542560E-002	8.90063670E-004	-3.63091090E-005	7.61810620E-006
LAF2	2.96573740E+000	-9.65716240E-003	2.60245250E-002	3.66846410E-004	2.82055510E-005	-1.37399290E-007
NBF1	2.97534910E+000	-1.46134700E-002	2.10963830E-002	1.19803800E-003	-1.18873880E-004	7.34443500E-006
NBFD3	3.16337460E+000	-1.32762800E-002	3.11333090E-002	8.35233800E-004	2.99804990E-006	2.55688530E-006
NBFD10	3.26155730E+000	-1.45428510E-002	3.34707390E-002	1.22664790E-003	-2.53918420E-005	5.59717390E-006
NBFD11	3.10102670E+000	-1.00221080E-002	3.26316870E-002	-8.10292680E-004	1.93501100E-004	-8.02797990E-006
NBFD13	3.17292230E+000	-1.42485340E-002	2.91681140E-002	1.34287600E-003	-9.61787530E-005	8.40425560E-006
NBFD15	3.15400110E+000	-1.32567530E-002	3.41033120E-002	1.84721670E-003	-1.08073320E-004	1.29759010E-005
